epoch,train_loss,test_loss
1,0.6636310331523418,0.006311369654819525
2,0.12574321395368315,0.03691014558784408
3,0.08840063518437091,0.007764074277853676
4,0.08842623417149298,0.003914428239416641
5,0.07213937959750183,0.013158901850450396
6,0.041785940527915955,0.005065679165757804
7,0.03528309735156654,0.0350386022546445
8,0.02924008078116458,0.06572761581446684
9,0.033629405952524394,0.009948768905208757
10,0.026955558605550323,0.02867469180030942
11,0.030089556705206633,0.0030452646387857385
12,0.03790424692851957,0.0027805003677106774
13,0.03305799870577175,0.028801837644247524
14,0.014456592674832791,0.011810023033376638
15,0.013216117498814128,0.01954723685882224
16,0.02036042036343133,0.015462201913275445
17,0.0431690767291002,0.0013142407862384668
18,0.02844118679422536,0.005285069162709988
19,0.03550391535191011,0.0069646417735687765
20,0.024936830099477447,0.007502100381316268
21,0.013067485349893104,0.02974615610279822
22,0.006590553064597771,0.004977762446894
23,0.008547098910639761,0.005977000604616478
24,0.007006822217334729,0.003394340856175404
25,0.006203567803595433,0.003431779785993664
26,0.005544310060940916,0.020949790135394625
27,0.0051730978666455485,0.008405187963641461
28,0.008845898155414034,0.006157435404020362
29,0.019139394150897715,0.005316792285157135
30,0.03198766409786913,0.029995266348090393
31,0.02259593504129498,0.00842447326119237
32,0.01006111560309364,0.008499933493756847
33,0.006071836443425127,0.011092065871631954
34,0.006644837533031023,0.0044429058759002755
35,0.0042971601831141015,0.0031009454095662172
36,0.003344811584611307,0.014760720670892624
37,0.004114557767934457,0.018938955890765403
38,0.0049449935395387,0.04811256272156091
39,0.008714225390576757,0.01397051541221117
40,0.0048853217664373005,0.013167538756912714
41,0.006003714941243743,0.009427535698932843
42,0.007943767552205827,0.02202255101292394
43,0.009244419205060694,0.026812795194151324
44,0.004629250726786438,0.005537867942355963
45,0.002428621071658199,0.0029352400714894125
46,0.001958173359525972,0.0031373083851728247
47,0.0021219323680270463,0.003126301470956605
48,0.0031851456878939644,0.001893880647609573
49,0.0045915367108966265,0.0013776157144699634
50,0.0031865900400589453,0.008903740012556227
51,0.001943081545618952,0.0055686648706796404
52,0.0017161001578642754,0.005776900480365536
53,0.001875668196589686,0.004444860851208432
54,0.0018633097852216451,0.0276956316927226
55,0.0035854969628417166,0.007917074601967519
56,0.0014299245824531681,0.00437132792300569
57,0.001356405745355005,0.006572805371888535
58,0.0016276637152259354,0.006972254260820894
59,0.0014850069064777927,0.007522698456871997
60,0.0016625995675667582,0.003446574396396803
61,0.0011691443581334227,0.005535977742511022
62,0.0013849288941401028,0.007872802885534233
63,0.001315857126883202,0.004170821295550316
64,0.0012000480878668895,0.004977421763669554
65,0.00115267700766708,0.005795340624899836
66,0.0010343087901674153,0.003700001202408506
67,0.001960469362529693,0.0038673520266456762
68,0.003223619537891409,0.004443032413898133
69,0.004218584831505723,0.0033784989742950224
70,0.006975030124976911,0.0016471601429657312
71,0.006677555885289621,0.0383175476543632
72,0.005791118026991171,0.016969550108872983
73,0.001904741108774033,0.004758387887704885
74,0.001404170934620197,0.004134942814895719
75,0.0013934009402873926,0.007910980301100304
76,0.0009425990265299333,0.0032605110527583747
77,0.000706251766128041,0.0040688720893437376
78,0.0007110425908649631,0.003748501603240584
79,0.0006337999675452011,0.0032939009326279725
80,0.0006878881704324158,0.005108155387536802
81,0.000707983085703745,0.0037147490731210078
82,0.0006666006033810845,0.0036191297514657586
83,0.0006207167602951813,0.0029782886329788503
84,0.0007041788148853811,0.003235982580614897
85,0.0007447242714988533,0.00366712231228424
86,0.000732347175699033,0.004994932904234399
87,0.0006696943810595712,0.003575743522560515
88,0.0007509255873401344,0.0036166704373196503
89,0.0007446974282174779,0.0036853283490927424
90,0.000623311973527052,0.004490533626722026
91,0.0005271652373721736,0.003962960820596588
92,0.0005867533359378285,0.0049622904003475314
93,0.0005702762646038195,0.003986741434497769
94,0.0005333519437158429,0.003988895375186985
95,0.0005476196049585269,0.0038596178568089576
96,0.0005404239236668218,0.003792605078918617
97,0.0005097255993860017,0.005069716640491606
98,0.0005250675467323163,0.003682447018036328
99,0.0005325900351635937,0.004817332546053876
100,0.0005276789629427014,0.0036310359272041146
